CONFIGURATION:
{u'simulation': {u'stdev_factor': 0.01, u'power_mgmt_enabled': False, u'tasks': {u'cnn': {u'mean_service_time': {u'fft_accel': 10, u'gpu': 150, u'cpu_core': 200}, u'priority': 2, u'stdev_service_time': {u'fft_accel': 0.1, u'gpu': 1.5, u'cpu_core': 2.0}, u'deadline': 1000}, u'fft': {u'mean_service_time': {u'fft_accel': 10, u'gpu': 100, u'cpu_core': 500}, u'priority': 1, u'stdev_service_time': {u'fft_accel': 0.1, u'gpu': 1.0, u'cpu_core': 5.0}, u'deadline': 1000}, u'decoder': {u'mean_service_time': {u'gpu': 150, u'cpu_core': 200}, u'priority': 3, u'stdev_service_time': {u'gpu': 1.5, u'cpu_core': 2.0}, u'deadline': 1000}}, u'sched_policy_module': u'policies.heft', u'drop': False, u'servers': {u'fft_accel': {u'count': 1}, u'gpu': {u'count': 2}, u'cpu_core': {u'count': 8}}, u'max_tasks_simulated': 10000, u'max_queue_size': 1000000, u'mean_arrival_time': 200, u'arrival_time_scale': 0.55}, u'general': {u'random_seed': 0, u'pre_gen_arrivals': False, u'basename': u'policy:heft__stdev_factor:0.01', u'output_trace_file': None, u'working_dir': u'/home/hiwot/meta-stomp2/sim_09042020_233520', u'input_trace_file': (False, '../user_traces/user_gen_trace.trc'), u'logging_level': u'INFO'}}

/home/hiwot/meta-stomp2/sim_09042020_233520/../user_traces/user_gen_trace.trc

Running STOMP simulation...
Dropped,DAG ID,DAG Priority,DAG Type,Slack,Response Time,No-Affinity Time
0,0,2,5,669,431,119
0,1,1,5,663,437,119
0,2,2,10,633,667,107
0,3,1,5,596,504,130
0,4,2,10,601,699,120
0,5,1,5,519,581,157
0,6,2,5,591,509,130
0,7,2,5,651,449,117
0,8,2,10,636,664,107
0,9,1,10,573,727,120
0,10,1,5,653,447,117
0,11,2,10,611,689,70
0,12,2,5,558,542,130
0,13,1,10,746,554,57
0,14,2,5,529,571,155
0,15,1,10,721,579,70
0,16,1,5,561,539,142
0,17,2,5,575,525,142
0,18,1,10,718,582,73
0,19,1,5,485,615,155
0,20,2,10,643,657,107
0,21,1,5,543,557,132
0,22,2,5,553,547,142
0,23,2,10,587,713,110
0,24,1,5,519,581,142
0,25,1,10,715,585,73
0,26,2,10,633,667,107
0,27,2,5,503,597,155
0,28,2,10,685,615,73
0,29,1,10,584,716,109
0,30,1,5,632,468,119
0,31,1,10,612,688,75
0,32,1,5,487,613,132
0,33,1,10,596,704,75
0,34,1,10,608,692,75
0,35,2,10,541,759,125
0,36,1,10,325,975,125
0,37,2,5,578,522,119
0,38,1,5,515,585,144
0,39,2,5,513,587,157
0,40,2,5,457,643,132
0,41,1,10,594,706,112
0,42,1,10,611,689,75
0,43,1,10,586,714,112
0,44,2,10,574,726,75
0,45,1,5,485,615,144
0,46,1,5,480,620,157
0,47,2,5,538,562,144
0,48,2,10,635,665,107
0,49,1,5,655,445,117
0,50,1,10,787,513,57
0,51,1,10,645,655,57
0,52,1,10,653,647,96
0,53,1,10,564,736,123
0,54,1,10,672,628,75
0,55,2,10,644,656,62
0,56,1,10,637,663,62
0,57,1,10,598,702,75
0,58,2,10,652,648,107
0,59,1,10,677,623,109
0,60,1,10,570,730,125
0,61,1,10,659,641,107
0,62,1,10,754,546,59
0,63,2,10,609,691,70
0,64,1,5,594,506,130
0,65,1,5,525,575,155
0,66,2,5,521,579,155
0,67,2,10,592,708,125
0,68,2,5,453,647,132
0,69,2,10,616,684,112
0,70,1,10,660,640,62
0,71,1,10,524,776,125
0,72,1,10,713,587,75
0,73,1,10,596,704,75
0,74,2,5,408,692,157
0,75,2,10,650,650,75
0,76,2,10,578,722,125
0,77,1,10,617,683,75
0,78,2,5,638,462,119
0,79,2,5,465,635,132
0,80,2,10,758,542,62
0,81,1,10,592,708,110
0,82,2,10,703,597,96
0,83,1,10,686,614,94
0,84,2,5,480,620,155
0,85,1,10,618,682,75
0,86,2,10,642,658,62
0,87,2,5,592,508,142
0,88,1,5,524,576,144
0,89,2,10,739,561,62
0,90,1,5,652,448,119
0,91,1,5,565,535,132
0,92,1,10,645,655,112
0,93,1,5,471,629,155
0,94,1,10,66,1234,125
0,95,1,10,84,1216,112
0,96,2,5,391,709,155
0,97,1,5,377,723,157
0,98,2,10,189,1111,75
0,99,1,10,192,1108,75
0,100,1,10,234,1066,112
0,101,1,5,295,805,155
0,102,1,10,290,1010,75
0,103,1,10,351,949,112
0,104,2,10,365,935,75
0,105,2,10,513,787,125
0,106,1,5,428,672,132
0,107,1,10,504,796,112
0,108,1,5,489,611,132
0,109,1,10,600,700,60
0,110,2,5,401,699,157
0,111,1,10,766,534,57
0,112,2,10,786,514,57
0,113,2,10,645,655,112
0,114,2,10,663,637,75
0,115,1,10,642,658,96
0,116,2,5,579,521,142
0,117,2,5,575,525,132
0,118,2,5,497,603,155
0,119,1,5,495,605,157
0,120,2,5,625,475,119
0,121,2,5,545,555,144
0,122,2,5,527,573,155
0,123,1,5,584,516,117
0,124,1,10,698,602,94
0,125,2,10,677,623,107
0,126,2,10,703,597,96
0,127,2,10,772,528,59
0,128,1,10,683,617,59
0,129,2,5,502,598,157
0,130,2,5,585,515,132
0,131,2,10,594,706,120
0,132,2,5,592,508,142
0,133,2,10,607,693,70
0,134,2,5,656,444,117
0,135,1,5,640,460,117
0,136,1,5,525,575,155
0,137,1,10,703,597,94
0,138,1,10,659,641,94
0,139,1,5,554,546,142
0,140,1,10,757,543,57
0,141,2,10,660,640,107
0,142,1,10,560,740,125
0,143,1,5,518,582,155
0,144,1,5,518,582,155
0,145,2,5,572,528,142
0,146,1,5,564,536,142
0,147,1,10,663,637,107
0,148,1,5,527,573,132
0,149,1,10,703,597,94
0,150,2,10,767,533,57
0,151,2,5,669,431,119
0,152,1,10,635,665,107
0,153,1,10,616,684,107
0,154,2,10,640,660,109
0,155,2,5,556,544,142
0,156,2,5,519,581,142
0,157,1,10,674,626,94
0,158,1,10,635,665,109
0,159,1,5,480,620,157
0,160,2,10,612,688,123
0,161,1,5,442,658,155
0,162,1,5,489,611,157
0,163,2,10,630,670,112
0,164,2,5,530,570,132
0,165,1,10,671,629,75
0,166,2,10,615,685,94
0,167,2,10,605,695,123
0,168,2,10,540,760,120
0,169,1,10,370,930,125
0,170,1,5,529,571,157
0,171,2,10,421,879,112
0,172,1,10,539,761,112
0,173,1,10,442,858,99
0,174,2,10,572,728,75
0,175,1,10,501,799,125
0,176,1,5,557,543,142
0,177,2,5,488,612,157
0,178,2,5,493,607,157
0,179,2,5,553,547,132
0,180,2,5,462,638,157
0,181,1,10,546,754,125
0,182,2,10,717,583,75
0,183,1,10,671,629,94
0,184,2,10,463,837,109
0,185,1,5,489,611,132
0,186,1,10,618,682,75
0,187,1,10,579,721,75
0,188,2,10,648,652,112
0,189,1,10,590,710,75
0,190,2,5,468,632,157
0,191,2,10,-190,1490,112
0,192,1,10,44,1256,112
0,193,2,10,72,1228,125
0,194,1,5,257,843,157
0,195,1,10,111,1189,112
0,196,1,10,138,1162,75
0,197,1,10,120,1180,75
0,198,1,10,133,1167,75
0,199,2,5,330,770,132
0,200,1,10,179,1121,99
0,201,2,5,405,695,157
0,202,2,10,295,1005,112
0,203,1,10,304,996,99
0,204,1,5,370,730,157
0,205,1,5,229,871,157
0,206,2,10,430,870,125
0,207,2,5,246,854,157
0,208,1,10,408,892,107
0,209,1,5,489,611,144
0,210,2,10,689,611,70
0,211,1,10,615,685,94
0,212,2,10,684,616,75
0,213,1,10,619,681,112
0,214,1,5,525,575,155
0,215,2,10,625,675,112
0,216,1,10,562,738,125
0,217,1,5,551,549,142
0,218,2,5,470,630,157
0,219,2,10,601,699,75
0,220,2,5,458,642,157
0,221,1,5,547,553,144
0,222,1,10,633,667,110
0,223,2,5,592,508,132
0,224,2,5,586,514,119
0,225,1,5,523,577,157
0,226,2,5,664,436,117
0,227,1,5,591,509,142
0,228,2,5,576,524,130
0,229,1,5,555,545,142
0,230,2,10,667,633,70
0,231,1,5,529,571,155
0,232,2,10,589,711,107
0,233,2,5,649,451,117
0,234,2,10,633,667,107
0,235,2,10,581,719,125
0,236,2,10,620,680,109
0,237,2,5,485,615,157
0,238,2,10,640,660,112
0,239,2,5,650,450,117
0,240,1,10,573,727,120
0,241,2,5,594,506,132
0,242,2,10,652,648,107
0,243,2,5,650,450,117
0,244,1,5,455,645,155
0,245,1,10,648,652,62
0,246,1,10,589,711,112
0,247,2,10,614,686,125
0,248,2,5,575,525,142
0,249,1,10,648,652,62
0,250,2,5,558,542,144
0,251,1,5,554,546,132
0,252,2,5,570,530,144
0,253,1,5,601,499,132
0,254,2,5,591,509,142
0,255,2,5,529,571,155
0,256,2,5,561,539,130
0,257,1,5,592,508,142
0,258,2,5,592,508,144
0,259,2,5,579,521,130
0,260,2,10,684,616,99
0,261,1,5,522,578,155
0,262,1,5,592,508,144
0,263,1,5,529,571,157
0,264,1,5,566,534,132
0,265,2,10,703,597,96
0,266,1,10,587,713,120
0,267,2,10,584,716,110
0,268,1,5,510,590,157
0,269,1,10,616,684,109
0,270,2,5,661,439,119
0,271,1,10,596,704,75
0,272,2,5,514,586,155
0,273,2,10,567,733,122
0,274,2,10,644,656,62
0,275,1,5,623,477,117
0,276,2,5,505,595,157
0,277,1,10,527,773,120
0,278,1,5,527,573,144
0,279,2,5,652,448,117
0,280,1,10,681,619,109
0,281,1,10,671,629,62
0,282,1,10,714,586,75
0,283,2,5,507,593,155
0,284,2,10,623,677,70
0,285,1,10,721,579,70
0,286,1,5,669,431,117
0,287,1,10,741,559,62
0,288,1,5,588,512,130
0,289,1,5,481,619,155
0,290,1,10,642,658,107
0,291,2,5,486,614,155
0,292,1,10,584,716,120
0,293,1,10,612,688,107
0,294,1,10,752,548,59
0,295,2,10,685,615,109
0,296,1,10,596,704,107
0,297,2,5,585,515,142
0,298,1,5,592,508,132
0,299,1,5,669,431,119
0,300,2,5,569,531,132
0,301,1,10,612,688,107
0,302,2,10,609,691,96
0,303,2,10,581,719,125
0,304,1,10,572,728,125
0,305,1,5,593,507,130
0,306,2,5,544,556,144
0,307,1,5,596,504,132
0,308,1,5,594,506,132
0,309,2,10,788,512,57
0,310,1,10,674,626,109
0,311,1,5,585,515,142
0,312,1,10,762,538,57
0,313,1,10,614,686,107
0,314,2,5,507,593,157
0,315,2,5,620,480,117
0,316,2,10,691,609,57
0,317,2,10,623,677,70
0,318,1,10,703,597,94
0,319,2,10,666,634,75
0,320,1,5,479,621,155
0,321,2,10,696,604,99
0,322,2,10,660,640,112
0,323,1,5,551,549,132
0,324,1,5,526,574,157
0,325,1,10,627,673,107
0,326,2,5,669,431,117
0,327,2,5,510,590,155
0,328,1,10,698,602,94
0,329,1,10,605,695,120
0,330,2,5,606,494,130
0,331,2,10,640,660,112
0,332,2,10,563,737,125
0,333,2,10,600,700,112
0,334,2,10,677,623,75
0,335,1,5,570,530,142
0,336,1,5,669,431,117
0,337,1,10,789,511,57
0,338,2,10,595,705,123
0,339,2,5,652,448,117
0,340,1,5,639,461,117
0,341,2,10,558,742,123
0,342,2,10,686,614,70
0,343,1,10,637,663,109
0,344,1,10,643,657,73
0,345,2,5,587,513,142
0,346,2,10,628,672,99
0,347,1,5,558,542,144
0,348,2,10,658,642,75
0,349,1,5,496,604,155
0,350,1,10,633,667,94
0,351,2,5,586,514,132
0,352,1,5,515,585,157
0,353,1,10,641,659,109
0,354,1,10,556,744,125
0,355,1,5,595,505,130
0,356,1,5,515,585,157
0,357,2,5,518,582,144
0,358,1,5,511,589,157
0,359,1,5,536,564,132
0,360,2,10,597,703,123
0,361,1,10,646,654,109
0,362,2,5,516,584,155
0,363,1,5,624,476,119
0,364,1,10,568,732,123
0,365,2,10,623,677,72
0,366,2,5,626,474,119
0,367,1,10,703,597,94
0,368,1,10,772,528,57
0,369,2,10,672,628,107
0,370,2,10,661,639,73
0,371,2,5,666,434,119
0,372,2,10,789,511,57
0,373,1,5,529,571,155
0,374,1,10,654,646,96
0,375,1,5,520,580,142
0,376,1,10,748,552,60
0,377,2,5,510,590,155
0,378,1,5,518,582,155
0,379,2,10,654,646,94
0,380,1,10,641,659,112
0,381,2,10,589,711,125
0,382,1,5,582,518,144
0,383,2,5,547,553,132
0,384,1,10,608,692,107
0,385,2,10,684,616,94
0,386,1,5,595,505,130
0,387,1,5,522,578,155
0,388,2,10,691,609,57
0,389,1,5,574,526,130
0,390,1,10,641,659,112
0,391,1,5,665,435,117
0,392,2,5,559,541,132
0,393,1,5,546,554,142
0,394,1,5,554,546,130
0,395,2,10,687,613,99
0,396,2,10,618,682,75
0,397,1,5,529,571,155
0,398,2,5,482,618,155
0,399,1,10,605,695,107
0,400,1,5,566,534,132
0,401,2,10,653,647,70
0,402,2,10,564,736,120
0,403,2,10,680,620,59
0,404,2,10,667,633,59
0,405,1,10,692,608,75
0,406,1,10,647,653,109
0,407,2,5,547,553,132
0,408,2,5,521,579,157
0,409,2,10,453,847,125
0,410,2,10,639,661,57
0,411,2,10,477,823,125
0,412,2,5,407,693,157
0,413,1,10,548,752,112
0,414,1,5,520,580,157
0,415,2,5,446,654,157
0,416,2,10,554,746,112
0,417,1,5,436,664,157
0,418,1,10,584,716,125
0,419,1,10,632,668,99
0,420,2,5,518,582,144
0,421,1,5,428,672,157
0,422,1,10,719,581,96
0,423,2,5,529,571,157
0,424,2,5,573,527,144
0,425,1,5,623,477,117
0,426,1,5,622,478,117
0,427,1,5,669,431,117
0,428,1,10,741,559,57
0,429,2,5,583,517,130
0,430,2,10,783,517,59
0,431,1,10,566,734,125
0,432,2,5,576,524,130
0,433,2,5,568,532,132
0,434,1,5,557,543,142
0,435,2,5,606,494,132
0,436,2,5,523,577,157
0,437,1,5,490,610,157
0,438,2,5,560,540,142
0,439,1,5,553,547,132
0,440,1,10,701,599,70
0,441,2,5,525,575,157
0,442,2,10,654,646,107
0,443,2,10,594,706,120
0,444,1,10,606,694,112
0,445,2,10,606,694,123
0,446,1,5,603,497,130
0,447,1,10,674,626,72
0,448,2,5,529,571,157
0,449,2,10,551,749,125
0,450,2,10,563,737,125
0,451,1,5,513,587,157
0,452,2,5,603,497,119
0,453,2,10,235,1065,112
0,454,1,10,98,1202,125
0,455,2,10,208,1092,125
0,456,1,5,492,608,157
